Date,Region,State,Product,Units Sold,Unit Price,Dealer,,,,,,,,,,,,,,,
1/1/2023,South,Karnataka,Maruti Suzuki?Swift (hatchback),26,9.65,Sunshine Auto Mart,,,,,,,,,,,,,,,
1/2/2023,South,Tamil Nadu,Maruti Suzuki?Swift (hatchback),56,9.65,Vision Auto Store,,,,,,,,,,,,,,,
1/3/2023,North,Punjab,Maruti Suzuki?Ertiga (MPV),39,13.25,MetroMax Automobiles,,,,,,,,,,,,,,,
1/4/2023,West,Gujarat,Maruti Suzuki?Dzire (sedan),25,10.19,MaxAuto India,,,,,,,,,,,,,,,
1/5/2023,West,Gujarat,Mahindra?Scorpio (Classic & N variants),51,16.5,Starline Auto World,,,,,,,,,,,,,,,
1/6/2023,East,Jharkhand,Maruti Suzuki?Ertiga (MPV),91,13.25,Brightway Motors,,,,,,,,,,,,,,,
1/7/2023,South,Andhra Pradesh,Tata?Punch (micro SUV + EV),14,10.32,DriveZone Automobiles,,,,,,,,,,,,,,,
1/8/2023,West,Goa,Maruti Suzuki?Brezza (compact SUV),11,10.11,Infinity Auto Plaza,,,,,,,,,,,,,,,
1/9/2023,West,Goa,Maruti Suzuki?Ertiga (MPV),70,13.25,Greenline Cars,,,,,,,,,,,,,,,
1/10/2023,South,Andhra Pradesh,Tata?Nexon (compact SUV + EV),79,15.6,Royal Auto Junction,,,,,,,,,,,,,,,
1/11/2023,South,Andhra Pradesh,Maruti Suzuki?Fronx (sub?compact SUV),75,13.06,Auto Galaxy,,,,,,,,,,,,,,,
1/12/2023,East,Odisha,Maruti Suzuki?Brezza (compact SUV),94,10.11,Sunshine Auto Mart,,,,,,,,,,,,,,,
1/13/2023,North,Delhi,Maruti Suzuki?Swift (hatchback),40,9.65,MetroMax Automobiles,,,,,,,,,,,,,,,
1/14/2023,South,Andhra Pradesh,Maruti Suzuki?Dzire (sedan),19,10.19,AutoTrendz,,,,,,,,,,,,,,,
1/15/2023,West,Maharashtra,Maruti Suzuki?Brezza (compact SUV),27,10.11,AutoBhavan,,,,,,,,,,,,,,,
1/16/2023,East,Bihar,Mahindra?Scorpio (Classic & N variants),91,16.5,Greenline Cars,,,,,,,,,,,,,,,
1/17/2023,South,Andhra Pradesh,Maruti Suzuki?Dzire (sedan),93,10.19,Unity Wheels,,,,,,,,,,,,,,,
1/18/2023,North,Himachal,Tata?Nexon (compact SUV + EV),50,15.6,Bharat Auto Hub,,,,,,,,,,,,,,,
1/19/2023,West,Rajasthan,Hyundai?Creta (SUV + EV),89,13.19,MegaDrive Showroom,,,,,,,,,,,,,,,
